label,SPXOpenUpDown,SPXPrevChange,SPXPrevVolChange
0,0.002675879,-0.000962812,0.054418963
0,-0.003704197,0.004808864,0.041593187
1,-0.005851102,0.000833152,-0.20425685
1,-0.00178218,0.002958724,0.075011314
1,0.004586577,-0.009687297,-0.035206105
0,0.011931386,-0.00158783,0.132041389
0,-0.007971097,0.005608998,0.049221756
1,-0.001111694,0.008106212,-0.155445834
1,0.008612834,-0.009948397,0.080701936
0,0.011672527,-6.60454E-05,-0.042054842
0,0.003096831,0.003804368,0.030944016
1,-0.007482409,0.006391605,-0.09358685
1,0.018219185,-0.009971102,0.171940458
0,0.002039235,0.005067087,0.062947264
1,-0.010817354,0.010842539,-0.063542896
1,-0.019448526,0.007185384,0.024589082
1,-0.001304403,0.00032531,-0.009401405
1,0.006467828,-0.000601688,0.021800727
0,-0.007827286,0.00362299,0.008203576
1,-0.000787741,7.35142E-05,-0.179720862
1,0.011983414,-0.005097459,0.347923211
0,0.003764921,-0.002241855,-0.299416947
0,0.010712292,-0.009766729,0.113879542
0,0.016891725,-0.002591158,0.130203831
0,0.000498373,0.000688987,-0.177650451
1,0.012674099,-0.005093666,0.003610054
0,0.007906849,-0.002573142,0.041011119
0,-0.018457013,0.014706994,0.073714435
1,-0.022472272,0.002860027,0.044876796
1,-0.00893265,0.005296068,0.054703827
1,-0.015602079,0.00717522,0.003440099
1,-0.011729487,0.000311835,-0.095594659
1,3.81558E-05,-0.006044925,0.169501636
0,0.008135845,-0.001002484,-0.011622869
0,-0.003081266,0.001870913,0.05046658
1,-0.00025632,5.53938E-05,0.039923278
1,-0.000986221,-2.7711E-05,-0.182533264
0,-0.009596436,0.003798122,0.045539845
1,-0.006748768,0.002023561,-0.158233357
1,-0.01138383,0.001552697,-0.218830748
1,-0.000291434,-0.000762012,0.594298924
0,0.002498808,-0.002056578,-0.123475077
0,0.011668017,-0.00964096,0.028728081
0,0.010982298,-0.004200186,0.113742907
0,0.000393223,0.001801583,-0.423889904
1,-0.007512543,0.003007245,0.542921552
1,-0.010589285,-0.002382651,0.095555126
0,-0.000538208,0.002816545,0.633043407
1,-0.010401211,0.005956855,-0.19328242
1,-0.004123125,0.002064141,-0.161932141
1,0.002789042,-0.001282001,-0.040836005
0,4.70317E-05,0.004757973,-0.039955742
1,-0.009204612,0.001261171,-0.000120458
1,-0.003536727,9.66106E-05,0.060390728
1,-0.004695084,0.003466089,0.034779493
1,-0.003629347,-0.001159785,-0.126321547
0,0.004580502,-0.002685755,0.034275207
0,0.009284873,-0.006881693,-0.034878571
0,0.003335434,0.005451728,0.011109203
1,0.000759256,-0.009203565,0.08544072
0,0.00644214,0.001039628,-0.093534038
1,-0.007832399,0.003582942,-0.033630992
1,-0.008219763,0.006932855,-0.059334425
1,-0.001631305,-0.004174073,0.119008224
0,-0.003172684,0.004184886,0.016818002
1,-0.002555461,-0.001157228,-0.118486764
0,0.003746885,0.001835321,-0.213932081
1,0.009153205,-0.011882452,-0.02916028
0,0.021215046,-0.008978904,0.229088488
0,0.016462891,-0.004025223,-0.141583568
0,0.034857285,-0.018401928,0.086535684
0,0.005656263,0.007196363,-0.075139979
1,-0.007905758,0.008860854,0.093849312
1,-0.027038036,0.014460321,0.225547955
1,-0.007688466,-0.004047114,0.174991145
0,0.016585167,-0.008383051,-0.260008823
0,-0.006578228,0.01582941,-0.10641781
